SNo,State,Underemployment Population,Rate
32,Abia ,558684,34.8
3,Adamawa ,687469,38.4
7,Akwa Ibom ,551101,21.7
11,Anambra ,384176,17
8,Bauchi ,441737,43
34,Bayelsa ,212834,20.6
25,Benue ,1159815,43.9
6,Borno ,373338,33
21,Cross River ,520595,26.6
26,Delta,500790,20.1
37,Ebonyi ,344114,25.7
18,Edo ,692160,34.9
24,Ekiti ,288519,23.7
35,Enugu ,478943,22.3
2,Gombe ,476178,35.8
30,Imo ,656394,26.4
20,Jigawa ,748937,37.8
15,Kaduna ,1108231,32.9
12,Kano ,1602610,35.5
16,Katsina ,1049620,38.1
14,Kebbi ,552718,36.2
31,Kogi ,620800,33
29,Kwara ,275090,26.4
36,Lagos ,1504345,22
13,Nasarawa ,270881,26.2
10,Niger ,608432,29.1
9,Ogun ,461935,20.7
27,Ondo ,664006,31.8
28,Osun ,420889,21.7
19,Oyo ,575218,18.1
17,Plateau ,512559,28
23,Rivers ,775974,19.8
1,Sokoto ,371443,23.9
22,Taraba ,361396,26.7
5,Yobe ,428425,38.4
4,Zamfara,653227,43.7
33,fct,400090,22.5
\n
\n
